player,club,competition,season_used,position,matches,minutes,shots,goals,xg,np_goals,np_xg,assists,xa,xg_chain,xg_buildup,xg_per_match,goals_per_match,np_xg_per90,shot_accuracy
Alpha Touré,Metz,FRA-Ligue 1,2526,D M S,30,1591,17,0,1.031,0,1.031,1,0.435,3.26,2.233,0.0344,0.0,0.0583,0.0
Benjamin Pavard,Marseille,FRA-Ligue 1,2526,D S,27,1932,11,1,1.03,1,1.03,2,2.101,11.098,10.663,0.0381,0.037,0.048,0.091
Sergi Cardona,Villarreal,ESP-La Liga,2526,D S,32,2028,18,1,1.029,1,1.029,4,3.019,10.103,8.429,0.0322,0.0312,0.0457,0.056
Jacques Ekomie,Angers,FRA-Ligue 1,2526,D S,32,2242,13,0,1.024,0,1.024,0,1.395,4.7,2.86,0.032,0.0,0.0411,0.0
Marc Bernal,Barcelona,ESP-La Liga,2526,M S,22,798,7,2,1.022,2,1.022,1,0.673,5.648,5.217,0.0465,0.0909,0.1153,0.286
Antoine Bernede,Verona,ITA-Serie A,2526,M S,32,2349,21,1,1.021,1,1.021,2,1.941,5.914,3.547,0.0319,0.0312,0.0391,0.048
Adam Kölle,FC Heidenheim,GER-Bundesliga,2526,S,6,73,3,1,1.018,1,1.018,0,0.035,0.158,0.035,0.1697,0.1667,1.2556,0.333
Brendan Chardonnet,Brest,FRA-Ligue 1,2526,D,29,2555,12,1,1.016,1,1.016,3,2.533,6.096,5.317,0.035,0.0345,0.0358,0.083
Torbjørn Heggem,Bologna,ITA-Serie A,2526,D S,27,2109,11,0,1.015,0,1.015,0,0.051,4.158,4.146,0.0376,0.0,0.0433,0.0
Michy Batshuayi,Eintracht Frankfurt,GER-Bundesliga,2526,F S,6,123,5,1,1.015,0,0.257,0,0.186,0.482,0.172,0.1691,0.1667,0.1879,0.2
Josh Cullen,Burnley,ENG-Premier League,2526,M,18,1533,11,2,1.014,2,1.014,2,1.817,6.163,4.626,0.0563,0.1111,0.0595,0.182
Nicolás Domínguez,Nottingham Forest,ENG-Premier League,2526,M S,27,1210,18,1,1.012,1,1.012,1,1.28,5.395,4.229,0.0375,0.037,0.0753,0.056
Manor Solomon,Fiorentina,ITA-Serie A,2526,F M S,16,872,11,2,1.011,2,1.011,1,2.412,5.04,3.163,0.0632,0.125,0.1043,0.182
Arkadiusz Pyrka,St. Pauli,GER-Bundesliga,2526,D M S,31,2596,19,0,1.009,0,1.009,1,2.223,8.325,6.615,0.0325,0.0,0.035,0.0
Carlos Alcaraz,Everton,ENG-Premier League,2526,M S,20,681,20,0,1.009,0,1.009,1,1.214,2.684,1.346,0.0504,0.0,0.1333,0.0
Aurèle Amenda,Eintracht Frankfurt,GER-Bundesliga,2526,D S,24,1664,10,0,1.009,0,1.009,0,0.336,5.715,5.516,0.042,0.0,0.0546,0.0
Unai López,Rayo Vallecano,ESP-La Liga,2526,M S,28,1637,22,0,1.007,0,1.007,4,2.521,7.015,5.052,0.036,0.0,0.0554,0.0
Philip Otele,Hamburger SV,GER-Bundesliga,2526,F M S,9,504,7,1,1.006,1,1.006,1,0.962,2.075,0.315,0.1118,0.1111,0.1797,0.143
Zaid Romero,Getafe,ESP-La Liga,2526,D,15,1350,10,1,1.005,1,1.005,0,0.09,2.843,2.555,0.067,0.0667,0.067,0.1
Adrian Beck,FC Heidenheim,GER-Bundesliga,2526,M S,24,847,11,1,1.005,1,1.005,1,2.532,4.769,3.332,0.0419,0.0417,0.1068,0.091
Maroan Sannadi,Athletic Club,ESP-La Liga,2526,F S,10,268,8,1,1.005,1,1.005,0,0.588,1.628,0.035,0.1005,0.1,0.3375,0.125
Senne Lynen,Werder Bremen,GER-Bundesliga,2526,D M,31,2766,25,0,1.001,0,1.001,0,1.237,9.094,7.418,0.0323,0.0,0.0326,0.0
Isco,Real Betis,ESP-La Liga,2526,M S,8,213,7,1,0.998,0,0.255,1,0.622,1.344,1.009,0.1248,0.125,0.1077,0.143
Nicolò Bertola,Udinese,ITA-Serie A,2526,D S,28,1756,13,0,0.996,0,0.996,1,1.549,4.486,2.858,0.0356,0.0,0.051,0.0
Tommaso Barbieri,Cremonese,ITA-Serie A,2526,D M S,29,1696,16,0,0.989,0,0.989,1,1.834,5.087,2.332,0.0341,0.0,0.0525,0.0
Vladimir Coufal,Hoffenheim,GER-Bundesliga,2526,D M,34,3032,26,1,0.989,1,0.989,8,7.479,15.418,11.001,0.0291,0.0294,0.0294,0.038
Jobe Bellingham,Borussia Dortmund,GER-Bundesliga,2526,M S,32,1779,19,0,0.989,0,0.989,1,0.772,9.602,8.472,0.0309,0.0,0.0501,0.0
Niclas Füllkrug,West Ham,ENG-Premier League,2526,F S,8,416,9,0,0.983,0,0.983,0,0.449,0.909,0.123,0.1229,0.0,0.2127,0.0
Giorgi Gocholeishvili,Hamburger SV,GER-Bundesliga,2526,D S,24,909,14,0,0.983,0,0.983,1,0.639,3.066,1.676,0.0409,0.0,0.0973,0.0
Vitinha,Paris Saint Germain,FRA-Ligue 1,2526,M S,29,2122,34,1,0.983,1,0.983,7,3.455,20.082,17.678,0.0339,0.0345,0.0417,0.029
Soriba Diaoune,Lille,FRA-Ligue 1,2526,M S,10,160,10,1,0.98,1,0.98,1,0.201,1.392,0.561,0.098,0.1,0.551,0.1
James Milner,Brighton,ENG-Premier League,2526,M S,20,773,8,1,0.979,0,0.218,1,0.655,3.979,3.793,0.049,0.05,0.0254,0.125
Rodrigo Bentancur,Tottenham,ENG-Premier League,2526,M S,26,1931,13,1,0.977,1,0.977,1,0.877,4.669,4.176,0.0376,0.0385,0.0455,0.077
Antonee Robinson,Fulham,ENG-Premier League,2526,D S,22,1484,6,1,0.977,0,0.216,0,1.09,4.561,3.849,0.0444,0.0455,0.0131,0.167
Mariano Troilo,Parma Calcio 1913,ITA-Serie A,2526,D S,21,1631,9,1,0.977,1,0.977,0,0.657,2.232,1.764,0.0465,0.0476,0.0539,0.111
Javier Rodríguez,Celta Vigo,ESP-La Liga,2526,D S,33,2568,13,0,0.976,0,0.976,1,1.071,9.956,9.42,0.0296,0.0,0.0342,0.0
Zito,Mallorca,ESP-La Liga,2526,F M S,10,511,9,0,0.973,0,0.973,2,1.0,2.619,0.646,0.0973,0.0,0.1714,0.0
Kenny Quetant,Le Havre,FRA-Ligue 1,2526,F S,9,378,8,1,0.973,1,0.973,0,0.023,0.554,0.182,0.1081,0.1111,0.2316,0.125
Dimitris Giannoulis,Augsburg,GER-Bundesliga,2526,D S,27,1957,10,2,0.972,2,0.972,5,3.862,6.427,3.064,0.036,0.0741,0.0447,0.2
David Datro Fofana,Strasbourg,FRA-Ligue 1,2526,F S,5,172,3,0,0.971,0,0.971,0,0.028,1.059,0.284,0.1942,0.0,0.5082,0.0
João Cancelo,Barcelona,ESP-La Liga,2526,D S,16,938,13,2,0.97,2,0.97,2,3.25,7.626,5.46,0.0607,0.125,0.0931,0.154
Tete Morente,Lecce,ITA-Serie A,2526,F M S,16,859,14,0,0.969,0,0.969,0,0.814,2.256,0.995,0.0606,0.0,0.1015,0.0
Marius Broholm,Lille,FRA-Ligue 1,2526,M S,11,269,4,1,0.969,0,0.209,1,0.566,0.771,0.401,0.0881,0.0909,0.07,0.25
Fabio Chiarodia,Borussia M.Gladbach,GER-Bundesliga,2526,D S,15,669,4,0,0.968,0,0.968,0,0.014,1.936,1.892,0.0645,0.0,0.1302,0.0
Bryan Okoh,Auxerre,FRA-Ligue 1,2526,D S,13,1005,8,3,0.968,3,0.968,0,0.256,1.83,1.614,0.0744,0.2308,0.0867,0.375
Martin Valjent,Mallorca,ESP-La Liga,2526,D,37,3311,17,0,0.968,0,0.968,0,0.14,9.192,8.854,0.0262,0.0,0.0263,0.0
Lloyd Kelly,Juventus,ITA-Serie A,2526,D S,35,2997,17,1,0.967,1,0.967,1,1.062,12.849,12.284,0.0276,0.0286,0.029,0.059
Ayumu Seko,Le Havre,FRA-Ligue 1,2526,D M S,30,2629,17,0,0.966,0,0.966,0,0.46,6.028,5.555,0.0322,0.0,0.0331,0.0
Fabian Schär,Newcastle United,ENG-Premier League,2526,D S,16,1096,17,0,0.963,0,0.963,0,0.163,3.193,3.06,0.0602,0.0,0.0791,0.0
Fabien Centonze,Nantes,FRA-Ligue 1,2526,D M S,15,738,8,3,0.963,3,0.963,0,0.146,2.048,1.129,0.0642,0.2,0.1174,0.375
Yan Couto,Borussia Dortmund,GER-Bundesliga,2526,D M S,19,989,9,2,0.963,2,0.963,2,2.85,6.887,4.393,0.0507,0.1053,0.0877,0.222
Kiko Femenía,Getafe,ESP-La Liga,2526,D M S,28,2070,8,1,0.962,1,0.962,1,1.919,3.811,1.29,0.0344,0.0357,0.0418,0.125
Koke,Atletico Madrid,ESP-La Liga,2526,M S,34,2237,14,2,0.962,2,0.962,2,3.441,15.893,14.468,0.0283,0.0588,0.0387,0.143
David Carmo,Real Oviedo,ESP-La Liga,2526,D S,22,1785,9,1,0.962,1,0.962,0,0.505,3.894,2.987,0.0437,0.0455,0.0485,0.111
Adrià Pedrosa,Elche,ESP-La Liga,2526,D M S,27,1053,12,1,0.962,1,0.962,1,1.571,4.788,2.751,0.0356,0.037,0.0822,0.083
Marc Roca,Real Betis,ESP-La Liga,2526,M S,29,2020,16,1,0.959,1,0.959,2,2.062,8.206,7.054,0.0331,0.0345,0.0427,0.062
Juan Cuadrado,Pisa,ITA-Serie A,2526,D M S,19,460,10,1,0.958,0,0.197,0,0.836,1.443,0.65,0.0504,0.0526,0.0385,0.1
Neil El Aynaoui,Roma,ITA-Serie A,2526,M S,25,958,6,1,0.958,1,0.958,2,1.774,5.917,3.715,0.0383,0.04,0.09,0.167
Valentín Gómez,Real Betis,ESP-La Liga,2526,D S,28,1852,11,1,0.954,1,0.954,0,2.11,5.002,3.893,0.0341,0.0357,0.0463,0.091
José Ángel Carmona,Sevilla,ESP-La Liga,2526,D M S,35,2561,20,1,0.954,1,0.954,3,2.357,9.387,7.581,0.0273,0.0286,0.0335,0.05
James Hill,Bournemouth,ENG-Premier League,2526,D S,29,2100,12,0,0.95,0,0.95,3,1.429,7.56,7.176,0.0328,0.0,0.0407,0.0
Toti,Wolverhampton Wanderers,ENG-Premier League,2526,D S,19,1437,5,0,0.95,0,0.95,0,0.159,2.287,2.101,0.05,0.0,0.0595,0.0
Malthe Højholt,Pisa,ITA-Serie A,2526,M S,17,857,4,0,0.949,0,0.949,0,0.156,1.512,0.466,0.0558,0.0,0.0997,0.0
Sebastiano Luperto,Cagliari,ITA-Serie A,2526,D,34,3024,12,1,0.948,1,0.948,1,1.271,5.052,4.66,0.0279,0.0294,0.0282,0.083
Philipp Lienhart,Freiburg,GER-Bundesliga,2526,D S,20,1296,8,1,0.948,1,0.948,0,0.143,5.849,5.744,0.0474,0.05,0.0659,0.125
Fran García,Real Madrid,ESP-La Liga,2526,D M S,13,930,6,1,0.947,1,0.947,1,0.302,4.634,3.962,0.0728,0.0769,0.0916,0.167
Fabio Baldé,Hamburger SV,GER-Bundesliga,2526,F M S,16,422,9,1,0.946,1,0.946,1,1.241,2.457,0.461,0.0591,0.0625,0.2018,0.111
Andy Diouf,Inter,ITA-Serie A,2526,D M S,19,462,10,1,0.945,1,0.945,0,1.752,4.342,1.789,0.0497,0.0526,0.1841,0.1
Jesper Karlström,Udinese,ITA-Serie A,2526,M,36,3164,20,1,0.944,1,0.944,0,0.899,7.853,6.567,0.0262,0.0278,0.0269,0.05
Boubacar Traore,Metz,FRA-Ligue 1,2526,M S,20,1414,19,1,0.941,1,0.941,0,0.222,2.384,1.51,0.047,0.05,0.0599,0.053
Jesper Lindstrom,Wolfsburg,GER-Bundesliga,2526,M S,13,362,9,0,0.939,0,0.939,0,0.794,1.968,0.765,0.0723,0.0,0.2336,0.0
Valentin Rosier,Osasuna,ESP-La Liga,2526,D S,31,2563,19,1,0.938,1,0.938,1,1.949,6.749,4.231,0.0303,0.0323,0.033,0.053
Alan Matturro,Levante,ESP-La Liga,2526,D S,19,918,8,1,0.937,1,0.937,1,1.199,3.347,1.891,0.0493,0.0526,0.0919,0.125
Gvidas Gineitis,Torino,ITA-Serie A,2526,M S,29,1778,27,0,0.936,0,0.936,1,2.675,5.622,4.117,0.0323,0.0,0.0474,0.0
Andrew Omobamidele,Strasbourg,FRA-Ligue 1,2526,D S,25,1336,4,1,0.934,1,0.934,0,0.0,6.619,6.619,0.0374,0.04,0.0629,0.25
Nikola Moro,Bologna,ITA-Serie A,2526,M S,30,1784,21,1,0.931,1,0.931,0,2.052,6.238,5.089,0.031,0.0333,0.047,0.048
Florian Kainz,FC Cologne,GER-Bundesliga,2526,M S,15,245,8,1,0.93,1,0.93,1,0.319,2.485,1.591,0.062,0.0667,0.3416,0.125
Tyler Adams,Bournemouth,ENG-Premier League,2526,M S,25,1805,10,2,0.929,2,0.929,2,1.23,6.87,5.868,0.0372,0.08,0.0463,0.2
Iván Balliu,Rayo Vallecano,ESP-La Liga,2526,D S,14,572,4,0,0.927,0,0.927,0,0.094,2.042,1.069,0.0662,0.0,0.1459,0.0
Krépin Diatta,Monaco,FRA-Ligue 1,2526,D M S,18,997,7,0,0.926,0,0.926,1,1.759,5.159,3.25,0.0515,0.0,0.0836,0.0
Dan Burn,Newcastle United,ENG-Premier League,2526,D S,29,2205,10,1,0.921,1,0.921,2,0.409,5.236,4.939,0.0318,0.0345,0.0376,0.1
Luca Lipani,Sassuolo,ITA-Serie A,2526,M S,24,1011,12,0,0.919,0,0.919,1,1.11,4.823,3.315,0.0383,0.0,0.0818,0.0
Jack Harrison,Fiorentina,ITA-Serie A,2526,D F M S,15,983,13,1,0.918,1,0.918,3,1.333,5.438,3.799,0.0612,0.0667,0.084,0.077
Dani Calvo,Real Oviedo,ESP-La Liga,2526,D S,21,1688,4,0,0.917,0,0.917,0,0.495,0.851,0.815,0.0437,0.0,0.0489,0.0
Andrija Bulatovic,Lens,FRA-Ligue 1,2526,M S,19,720,11,0,0.917,0,0.917,4,2.88,4.079,2.656,0.0482,0.0,0.1146,0.0
Marcão,Sevilla,ESP-La Liga,2526,D S,13,935,10,1,0.916,1,0.916,0,0.0,2.038,2.038,0.0704,0.0769,0.0882,0.1
Lucas Vázquez,Bayer Leverkusen,GER-Bundesliga,2526,D S,12,483,4,1,0.914,1,0.914,2,2.51,5.762,2.455,0.0762,0.0833,0.1704,0.25
Felix Lemarechal,Strasbourg,FRA-Ligue 1,2526,F M S,11,556,10,0,0.911,0,0.911,2,1.236,3.235,1.359,0.0828,0.0,0.1475,0.0
Deiver Machado,Lens,FRA-Ligue 1,2526,D M S,19,1201,13,0,0.909,0,0.909,1,1.395,4.014,1.735,0.0478,0.0,0.0681,0.0
Victor Boniface,Werder Bremen,GER-Bundesliga,2526,F S,11,309,16,0,0.909,0,0.909,2,1.053,2.354,0.714,0.0826,0.0,0.2647,0.0
Tim Skarke,Union Berlin,GER-Bundesliga,2526,F M S,22,555,14,1,0.907,1,0.907,1,1.448,3.766,1.586,0.0412,0.0455,0.147,0.071
Nilson Angulo,Sunderland,ENG-Premier League,2526,M S,8,415,7,0,0.906,0,0.906,0,0.053,0.894,0.162,0.1132,0.0,0.1964,0.0
Godson Kyeremeh,Le Havre,FRA-Ligue 1,2526,F S,13,350,6,1,0.903,1,0.903,1,0.499,1.343,0.587,0.0694,0.0769,0.2321,0.167
Lucas Pires,Burnley,ENG-Premier League,2526,D S,20,1391,16,0,0.903,0,0.903,0,1.52,3.834,2.355,0.0451,0.0,0.0584,0.0
Nicolas Kühn,Como,ITA-Serie A,2526,M S,23,643,8,1,0.903,1,0.903,1,1.439,4.039,1.861,0.0393,0.0435,0.1264,0.125
Tiago Gouveia,Nice,FRA-Ligue 1,2526,D M S,15,507,12,0,0.903,0,0.903,0,0.64,1.151,0.702,0.0602,0.0,0.1603,0.0
Reiss Nelson,Brentford,ENG-Premier League,2526,S,10,104,5,0,0.901,0,0.901,1,0.059,1.589,1.123,0.0901,0.0,0.7795,0.0
Jon Gorrotxategi,Real Sociedad,ESP-La Liga,2526,M S,30,2235,13,1,0.901,1,0.901,3,0.99,9.609,8.546,0.03,0.0333,0.0363,0.077
Alberto Dossena,Cagliari,ITA-Serie A,2526,D S,12,850,7,0,0.898,0,0.898,1,0.61,1.513,1.215,0.0749,0.0,0.0951,0.0
Hugo Bueno,Wolverhampton Wanderers,ENG-Premier League,2526,D M S,35,2351,16,1,0.896,1,0.896,2,3.683,5.543,2.929,0.0256,0.0286,0.0343,0.062
Pedro Bigas,Elche,ESP-La Liga,2526,D S,28,2078,10,1,0.896,1,0.896,3,1.969,9.46,8.86,0.032,0.0357,0.0388,0.1
Lilian Brassier,Rennes,FRA-Ligue 1,2526,D S,27,2253,11,0,0.895,0,0.895,1,0.908,8.077,7.725,0.0331,0.0,0.0357,0.0
Franck Honorat,Borussia M.Gladbach,GER-Bundesliga,2526,D F M S,28,2021,17,2,0.894,2,0.894,6,7.342,9.13,3.121,0.0319,0.0714,0.0398,0.118
Daniel Parejo,Villarreal,ESP-La Liga,2526,M S,33,1474,3,1,0.893,0,0.15,0,1.772,7.067,6.175,0.0271,0.0303,0.0092,0.333
Jamie Bynoe-Gittens,Chelsea,ENG-Premier League,2526,M S,16,455,10,0,0.892,0,0.892,2,0.978,2.936,1.31,0.0558,0.0,0.1765,0.0
Hassane Kamara,Udinese,ITA-Serie A,2526,D M S,26,1883,16,0,0.89,0,0.89,2,2.514,6.378,4.113,0.0342,0.0,0.0425,0.0
Castello Lukeba,RasenBallsport Leipzig,GER-Bundesliga,2526,D S,26,2176,8,1,0.889,1,0.889,0,0.24,13.522,13.344,0.0342,0.0385,0.0368,0.125
Ethan Nwaneri,Marseille,FRA-Ligue 1,2526,M S,9,334,9,2,0.886,2,0.886,1,0.98,2.828,1.837,0.0985,0.2222,0.2388,0.222
Naif Aguerd,Marseille,FRA-Ligue 1,2526,D,16,1407,10,2,0.886,2,0.886,0,0.27,9.149,9.127,0.0554,0.125,0.0567,0.2
Álex Valle,Como,ITA-Serie A,2526,D S,28,2028,11,1,0.885,1,0.885,4,1.477,8.44,6.766,0.0316,0.0357,0.0393,0.091
Jacopo Fazzini,Fiorentina,ITA-Serie A,2526,F M S,20,562,9,0,0.883,0,0.883,0,0.723,1.994,0.462,0.0442,0.0,0.1414,0.0
Beñat Turrientes,Real Sociedad,ESP-La Liga,2526,M S,27,1355,20,0,0.882,0,0.882,3,1.186,5.579,4.065,0.0327,0.0,0.0586,0.0
Rasmus Nicolaisen,Toulouse,FRA-Ligue 1,2526,D S,32,2582,15,1,0.882,1,0.882,0,0.098,4.308,4.092,0.0276,0.0312,0.0308,0.067
Jonny,Alaves,ESP-La Liga,2526,D,34,3006,9,0,0.88,0,0.88,0,1.212,11.328,9.65,0.0259,0.0,0.0264,0.0
Gabriel Gudmundsson,Leeds,ENG-Premier League,2526,D M S,32,2657,18,0,0.878,0,0.878,0,3.101,6.766,4.271,0.0274,0.0,0.0297,0.0
Michel Diaz,Brest,FRA-Ligue 1,2526,D S,20,1555,7,0,0.878,0,0.878,0,0.03,2.809,2.268,0.0439,0.0,0.0508,0.0
Panos Katseris,Lorient,FRA-Ligue 1,2526,D S,16,728,7,1,0.877,1,0.877,2,2.372,4.036,2.318,0.0548,0.0625,0.1084,0.143
Giacomo Raspadori,Atletico Madrid,ESP-La Liga,2526,F S,12,203,7,0,0.877,0,0.877,1,0.95,1.948,0.269,0.0731,0.0,0.3887,0.0
Jean-Daniel Akpa-Akpro,Verona,ITA-Serie A,2526,M S,22,1531,13,1,0.876,1,0.876,0,0.387,2.589,1.54,0.0398,0.0455,0.0515,0.077
Mohammed Salisu,Monaco,FRA-Ligue 1,2526,D,12,1080,8,1,0.876,1,0.876,0,0.151,3.453,3.253,0.073,0.0833,0.073,0.125
André Almeida,Valencia,ESP-La Liga,2526,F M S,22,1007,9,0,0.875,0,0.875,2,2.185,6.305,4.309,0.0398,0.0,0.0782,0.0
Bamo Meïté,Lorient,FRA-Ligue 1,2526,D S,25,1977,8,0,0.874,0,0.874,3,1.241,3.832,3.398,0.0349,0.0,0.0398,0.0
Jean-Ricner Bellegarde,Wolverhampton Wanderers,ENG-Premier League,2526,F M S,26,1268,21,1,0.87,1,0.87,1,1.217,5.201,3.501,0.0335,0.0385,0.0617,0.048
James Sands,St. Pauli,GER-Bundesliga,2526,M S,24,1957,16,1,0.869,1,0.869,0,0.966,4.826,3.584,0.0362,0.0417,0.04,0.062
Thiago Fernández,Real Oviedo,ESP-La Liga,2526,F M S,17,919,15,0,0.869,0,0.869,4,2.869,4.16,1.716,0.0511,0.0,0.0851,0.0
Batista Mendy,Sevilla,ESP-La Liga,2526,M S,27,1632,17,1,0.864,1,0.864,0,0.49,4.134,3.505,0.032,0.037,0.0477,0.059
Montassar Talbi,Lorient,FRA-Ligue 1,2526,D,29,2610,14,0,0.863,0,0.863,1,0.865,6.319,6.079,0.0298,0.0,0.0298,0.0
Stefan Posch,Como,ITA-Serie A,2526,D S,14,362,8,1,0.863,1,0.863,0,0.188,2.256,1.992,0.0616,0.0714,0.2145,0.125
Matt O'Riley,Marseille,FRA-Ligue 1,2526,M S,15,725,7,1,0.861,1,0.861,2,3.09,6.184,4.171,0.0574,0.0667,0.1068,0.143
Lucas Michal,Metz,FRA-Ligue 1,2526,M S,11,245,8,0,0.861,0,0.861,0,0.099,0.958,0.127,0.0782,0.0,0.3161,0.0
Aissa Mandi,Lille,FRA-Ligue 1,2526,D S,29,2432,14,1,0.86,1,0.86,0,1.004,10.867,10.555,0.0297,0.0345,0.0318,0.071
Hans Nicolussi Caviglia,Fiorentina,ITA-Serie A,2526,M S,26,1456,20,0,0.857,0,0.857,4,1.745,4.351,3.132,0.0329,0.0,0.053,0.0
Sandro Kulenovic,Torino,ITA-Serie A,2526,F S,13,284,5,0,0.852,0,0.852,1,0.341,1.306,0.214,0.0655,0.0,0.2699,0.0
Johann Lepenant,Nantes,FRA-Ligue 1,2526,F M S,27,2175,22,0,0.85,0,0.85,1,2.212,5.618,4.049,0.0315,0.0,0.0352,0.0
Sergio Gómez,Real Sociedad,ESP-La Liga,2526,D M S,35,2712,12,0,0.85,0,0.85,6,7.415,11.901,8.496,0.0243,0.0,0.0282,0.0
Jeremy Toljan,Levante,ESP-La Liga,2526,D,37,3199,9,1,0.849,1,0.849,4,4.971,12.49,9.12,0.0229,0.027,0.0239,0.111
Manuel Ugarte,Manchester United,ENG-Premier League,2526,M S,22,850,13,0,0.838,0,0.838,0,0.129,3.853,3.155,0.0381,0.0,0.0887,0.0
Lutsharel Geertruida,Sunderland,ENG-Premier League,2526,D M S,28,1659,11,0,0.837,0,0.837,0,0.774,4.534,3.29,0.0299,0.0,0.0454,0.0
Pascal Groß,Borussia Dortmund,GER-Bundesliga,2526,M S,11,619,8,0,0.835,0,0.835,1,1.34,4.495,3.27,0.0759,0.0,0.1214,0.0
Manuel De Luca,Cremonese,ITA-Serie A,2526,S,2,10,2,1,0.835,0,0.074,0,0.0,0.074,0.0,0.4175,0.5,0.6638,0.5
Luca Moro,Sassuolo,ITA-Serie A,2526,F S,14,181,6,0,0.833,0,0.833,0,0.261,1.208,0.125,0.0595,0.0,0.4143,0.0
Antonino Gallo,Lecce,ITA-Serie A,2526,D S,37,3063,6,0,0.832,0,0.832,4,3.945,5.236,3.61,0.0225,0.0,0.0244,0.0
Lucien Agoume,Sevilla,ESP-La Liga,2526,F M S,34,2728,15,1,0.83,1,0.83,3,3.19,9.657,6.904,0.0244,0.0294,0.0274,0.067
Domingos Duarte,Getafe,ESP-La Liga,2526,D,34,2953,13,1,0.83,1,0.83,1,0.908,1.416,1.294,0.0244,0.0294,0.0253,0.077
Dayotchanculle Upamecano,Bayern Munich,GER-Bundesliga,2526,D S,24,1805,8,1,0.83,1,0.83,1,1.438,14.301,13.812,0.0346,0.0417,0.0414,0.125
Michel Aebischer,Pisa,ITA-Serie A,2526,M S,35,2911,19,1,0.83,1,0.83,2,3.436,9.911,7.117,0.0237,0.0286,0.0257,0.053
Tyrique George,Chelsea,ENG-Premier League,2526,M S,15,328,10,0,0.829,0,0.829,0,1.342,1.662,0.989,0.0553,0.0,0.2274,0.0
Marten de Roon,Atalanta,ITA-Serie A,2526,D M S,34,2720,16,1,0.825,1,0.825,2,1.587,15.483,13.586,0.0243,0.0294,0.0273,0.062
Eric Smith,St. Pauli,GER-Bundesliga,2526,D M S,27,2313,12,2,0.815,2,0.815,2,0.895,5.893,5.734,0.0302,0.0741,0.0317,0.167
Pietro Comuzzo,Fiorentina,ITA-Serie A,2526,D S,27,1697,10,1,0.815,1,0.815,0,0.044,5.986,5.849,0.0302,0.037,0.0432,0.1
Milan Djuric,Cremonese,ITA-Serie A,2526,F S,23,411,14,0,0.813,0,0.813,1,0.761,2.152,0.876,0.0353,0.0,0.178,0.0
Tom Cairney,Fulham,ENG-Premier League,2526,M S,24,747,17,2,0.812,2,0.812,0,0.689,4.333,3.376,0.0339,0.0833,0.0979,0.118
Robert Andrich,Bayer Leverkusen,GER-Bundesliga,2526,D M S,32,2550,12,2,0.811,2,0.811,0,0.538,14.815,14.427,0.0253,0.0625,0.0286,0.167
Guido Rodríguez,Valencia,ESP-La Liga,2526,M S,16,1310,15,4,0.81,4,0.81,0,0.354,4.893,4.198,0.0506,0.25,0.0556,0.267
Granit Xhaka,Sunderland,ENG-Premier League,2526,M S,34,2896,21,1,0.807,1,0.807,6,3.705,10.455,8.981,0.0237,0.0294,0.0251,0.048
Johan Mojica,Mallorca,ESP-La Liga,2526,D S,35,2723,17,0,0.806,0,0.806,4,3.928,9.051,5.788,0.023,0.0,0.0266,0.0
Chris Rigg,Sunderland,ENG-Premier League,2526,M S,18,780,12,1,0.8,1,0.8,1,1.189,1.969,0.725,0.0445,0.0556,0.0923,0.083
Daniel James,Leeds,ENG-Premier League,2526,D F S,19,538,14,0,0.8,0,0.8,0,0.49,1.58,0.327,0.0421,0.0,0.1338,0.0
Ben Davies,Tottenham,ENG-Premier League,2526,D S,3,137,2,1,0.798,1,0.798,0,0.025,0.025,0.025,0.2661,0.3333,0.5244,0.5
Marnon Busch,FC Heidenheim,GER-Bundesliga,2526,D M S,29,1901,12,1,0.797,1,0.797,5,3.248,6.243,4.602,0.0275,0.0345,0.0377,0.083
Koni de Winter,AC Milan,ITA-Serie A,2526,D S,26,1797,7,1,0.797,1,0.797,1,0.65,8.047,7.892,0.0306,0.0385,0.0399,0.143
Melvin Bard,Nice,FRA-Ligue 1,2526,D M S,29,2393,15,2,0.796,2,0.796,1,1.804,7.336,5.746,0.0275,0.069,0.03,0.133
Nicolás Valentini,Verona,ITA-Serie A,2526,D S,21,1400,15,0,0.795,0,0.795,0,0.627,3.025,1.892,0.0379,0.0,0.0511,0.0
Diogo Leite,Union Berlin,GER-Bundesliga,2526,D,23,1998,10,0,0.795,0,0.795,0,0.463,4.023,3.751,0.0346,0.0,0.0358,0.0
Simon Sohm,Bologna,ITA-Serie A,2526,M S,28,1447,9,0,0.794,0,0.794,1,2.045,4.974,3.702,0.0283,0.0,0.0494,0.0
Mathias Rasmussen,St. Pauli,GER-Bundesliga,2526,M S,13,692,6,0,0.794,0,0.794,0,0.264,2.191,1.772,0.0611,0.0,0.1033,0.0
Kialonda Gaspar,Lecce,ITA-Serie A,2526,D S,23,1827,9,0,0.793,0,0.793,0,0.0,2.657,2.657,0.0345,0.0,0.0391,0.0
Álex Forés,Real Oviedo,ESP-La Liga,2526,F S,18,331,8,0,0.792,0,0.792,1,0.02,1.332,0.6,0.044,0.0,0.2154,0.0
Youssef Lekhedim,Alaves,ESP-La Liga,2526,D S,25,1332,11,0,0.792,0,0.792,1,2.769,5.752,3.135,0.0317,0.0,0.0535,0.0
