player,club,competition,season_used,position,matches,minutes,shots,goals,xg,np_goals,np_xg,assists,xa,xg_chain,xg_buildup,xg_per_match,goals_per_match,np_xg_per90,shot_accuracy
Igor Jesus,Nottingham Forest,ENG-Premier League,2526,F M S,37,2379,70,6,7.199,5,6.438,4,2.28,8.535,1.848,0.1946,0.1622,0.2436,0.086
Morgan Rogers,Aston Villa,ENG-Premier League,2526,F M,37,3301,84,10,7.146,10,7.146,6,7.475,18.205,7.18,0.1931,0.2703,0.1948,0.119
Lennart Karl,Bayern Munich,GER-Bundesliga,2526,M S,26,1268,42,5,7.121,5,7.121,5,2.791,17.725,9.105,0.2739,0.1923,0.5055,0.119
Valentín Castellanos,West Ham,ENG-Premier League,2526,F S,18,1430,50,6,7.12,6,7.12,0,0.748,6.779,1.139,0.3955,0.3333,0.4481,0.12
Víctor Muñoz,Osasuna,ESP-La Liga,2526,F M S,34,2705,81,6,7.115,6,7.115,2,2.412,11.554,3.835,0.2093,0.1765,0.2367,0.074
Brian Brobbey,Sunderland,ENG-Premier League,2526,F S,31,1943,36,7,7.112,7,7.112,1,1.508,9.288,1.601,0.2294,0.2258,0.3294,0.194
Matheus Cunha,Manchester United,ENG-Premier League,2526,F M S,33,2506,90,10,7.076,10,7.076,2,3.698,17.601,10.044,0.2144,0.303,0.2541,0.111
Oihan Sancet,Athletic Club,ESP-La Liga,2526,M S,28,1832,48,4,7.056,2,5.57,0,1.445,7.564,2.207,0.252,0.1429,0.2736,0.083
Gerard Moreno,Villarreal,ESP-La Liga,2526,F S,22,1368,39,10,7.015,7,4.785,0,3.005,9.858,4.951,0.3189,0.4545,0.3148,0.256
Raul García,Osasuna,ESP-La Liga,2526,F S,36,926,39,7,6.938,7,6.938,1,1.123,7.229,1.163,0.1927,0.1944,0.6743,0.179
Lucas Da Cunha,Como,ITA-Serie A,2526,M S,36,2765,42,6,6.926,2,3.881,4,6.022,17.491,12.714,0.1924,0.1667,0.1263,0.143
Vitinha,Genoa,ITA-Serie A,2526,F M S,35,2262,65,5,6.909,5,6.909,1,2.178,9.65,2.649,0.1974,0.1429,0.2749,0.077
Álvaro García,Rayo Vallecano,ESP-La Liga,2526,F M S,32,2123,47,4,6.871,4,6.871,5,7.335,14.6,2.034,0.2147,0.125,0.2913,0.085
Roberto Piccoli,Fiorentina,ITA-Serie A,2526,F S,32,1653,47,4,6.827,4,6.827,1,1.587,8.302,1.481,0.2134,0.125,0.3717,0.085
Sambou Soumano,Lorient,FRA-Ligue 1,2526,F S,31,891,28,4,6.807,4,6.047,2,1.807,5.823,0.38,0.2196,0.129,0.6108,0.143
Domenico Berardi,Sassuolo,ITA-Serie A,2526,F M S,26,1995,40,8,6.784,6,4.5,4,5.058,13.034,6.806,0.2609,0.3077,0.203,0.2
Justin Njinmah,Werder Bremen,GER-Bundesliga,2526,D F M S,33,1963,62,5,6.779,5,6.779,0,1.24,11.163,3.214,0.2054,0.1515,0.3108,0.081
Álex Grimaldo,Bayer Leverkusen,GER-Bundesliga,2526,D,29,2539,61,8,6.761,5,4.488,7,10.241,19.191,13.632,0.2332,0.2759,0.1591,0.131
Leandro Trossard,Arsenal,ENG-Premier League,2526,F M S,31,2026,53,6,6.753,6,6.753,6,4.988,13.573,4.961,0.2178,0.1935,0.3,0.113
