player,team,competitions,matches,shots,xg,goals,xg_per_match,goals_per_match,shot_accuracy
Arthur Masuaku,Congo DR,AFCON 2023,4,7,0.9332,1,0.2333,0.25,0.143
Mohamed Zeki Amdouni,Switzerland,UEFA Euro 2024,2,3,0.9329,1,0.4665,0.5,0.333
Jhonder Leonel Cádiz Fernández,Venezuela,Copa America 2024,2,4,0.932,2,0.466,1.0,0.5
Hamari Traoré,Mali,AFCON 2023,3,3,0.9214,1,0.3071,0.3333,0.333
Cole Palmer,England,UEFA Euro 2024,4,4,0.9202,2,0.2301,0.5,0.5
Geny Cipriano Catamo,Mozambique,AFCON 2023,2,4,0.9177,1,0.4589,0.5,0.25
Lisandro Martínez,Argentina,FIFA World Cup 2022; Copa America 2024,4,6,0.909,1,0.2273,0.25,0.167
Trent Alexander-Arnold,England,UEFA Euro 2024,3,5,0.9083,1,0.3028,0.3333,0.2
Abdelhamid Sabiri,Morocco,FIFA World Cup 2022,2,4,0.9069,1,0.4534,0.5,0.25
Ivan Toney,England,UEFA Euro 2024,2,2,0.9069,1,0.4534,0.5,0.5
Maximiliano Javier Araújo Vilches,Uruguay,Copa America 2024,5,11,0.8957,2,0.1791,0.4,0.182
Pape Ibnou Bâ,Mauritania,AFCON 2023,2,3,0.8938,0,0.4469,0.0,0.0
Grady Diangana,Congo DR,AFCON 2023,2,3,0.8917,1,0.4458,0.5,0.333
Andreas Christensen,Denmark,FIFA World Cup 2022; UEFA Euro 2024,5,6,0.8911,1,0.1782,0.2,0.167
John Yeboah Zamora,Ecuador,Copa America 2024,3,4,0.8906,1,0.2969,0.3333,0.25
Răzvan Gabriel Marin,Romania,UEFA Euro 2024,3,6,0.8903,2,0.2968,0.6667,0.333
Pape Matar Sarr,Senegal,FIFA World Cup 2022; AFCON 2023,2,6,0.8881,1,0.4441,0.5,0.167
Pablo Sarabia García,Spain,FIFA World Cup 2022,1,2,0.8876,0,0.8876,0.0,0.0
Sergio Busquets i Burgos,Spain,FIFA World Cup 2022,2,3,0.8871,0,0.4436,0.0,0.0
Cyle Larin,Canada,FIFA World Cup 2022; Copa America 2024,5,10,0.8818,0,0.1764,0.0,0.0
Ivan Schranz,Slovakia,UEFA Euro 2024,3,5,0.8769,3,0.2923,1.0,0.6
Teun Koopmeiners,Netherlands,FIFA World Cup 2022,3,3,0.8734,1,0.2911,0.3333,0.333
Ao Tanaka,Japan,FIFA World Cup 2022,1,1,0.8726,1,0.8726,1.0,1.0
Kingsley Coman,France,FIFA World Cup 2022,2,2,0.8714,0,0.4357,0.0,0.0
Bradley Barcola,France,UEFA Euro 2024,2,3,0.8626,1,0.4313,0.5,0.333
Siyanda Xulu,South Africa,AFCON 2023,2,2,0.8615,1,0.4308,0.5,0.5
Mathías Olivera Miramontes,Uruguay,FIFA World Cup 2022; Copa America 2024,5,6,0.8522,1,0.1704,0.2,0.167
Pedro González López,Spain,UEFA Euro 2024,3,6,0.8513,0,0.2838,0.0,0.0
Gedeon Kalulu Kyatengwa,Congo DR,AFCON 2023,2,2,0.8453,1,0.4227,0.5,0.5
Benjamin Šeško,Slovenia,UEFA Euro 2024,4,8,0.8443,0,0.2111,0.0,0.0
Miguel Ángel Borja Hernández,Colombia,Copa America 2024,2,2,0.8428,1,0.4214,0.5,0.5
Kaoru Mitoma,Japan,FIFA World Cup 2022,1,2,0.8376,0,0.8376,0.0,0.0
Luuk de Jong,Netherlands,FIFA World Cup 2022,1,2,0.8364,1,0.8364,1.0,0.5
Ivan Perišić,Croatia,FIFA World Cup 2022; UEFA Euro 2024,8,20,0.8361,1,0.1045,0.125,0.05
Ángel Israel Mena Delgado,Ecuador,Copa America 2024,1,2,0.8356,0,0.8356,0.0,0.0
Takumi Minamino,Japan,FIFA World Cup 2022,2,3,0.834,0,0.417,0.0,0.0
Tomás Eduardo Rincón Hernández,Venezuela,Copa America 2024,2,2,0.8325,1,0.4162,0.5,0.5
Henoc Inonga Baka,Congo DR,AFCON 2023,1,2,0.8323,1,0.8323,1.0,0.5
Josip Iličić,Slovenia,UEFA Euro 2024,1,2,0.8288,0,0.8288,0.0,0.0
Benjamin Verbič,Slovenia,UEFA Euro 2024,1,2,0.8285,0,0.8285,0.0,0.0
Roland Sallai,Hungary,UEFA Euro 2024,3,8,0.825,0,0.275,0.0,0.0
Andreas Hoelgebaum Pereira,Brazil,Copa America 2024,2,2,0.8245,1,0.4123,0.5,0.5
Antonio Rüdiger,Germany,FIFA World Cup 2022; UEFA Euro 2024,6,10,0.823,0,0.1372,0.0,0.0
Michael Gregoritsch,Austria,UEFA Euro 2024,1,4,0.8204,1,0.8204,1.0,0.25
Giorgi Kochorashvili,Georgia,UEFA Euro 2024,2,5,0.8157,0,0.4079,0.0,0.0
Serge Aurier,Côte d'Ivoire,AFCON 2023,1,2,0.8064,1,0.8064,1.0,0.5
Gareth Frank Bale,Wales,FIFA World Cup 2022,2,2,0.8052,1,0.4026,0.5,0.5
José Fajardo Nelson,Panama,Copa America 2024,4,8,0.8034,2,0.2008,0.5,0.25
Mohamed Hany Gamal Eldemerdash,Egypt,AFCON 2023,2,2,0.8031,1,0.4016,0.5,0.5
Andreas Evald Cornelius,Denmark,FIFA World Cup 2022,3,5,0.8015,0,0.2672,0.0,0.0
Orkun Kökçü,Türkiye,UEFA Euro 2024,2,6,0.7996,0,0.3998,0.0,0.0
Mostafa Fathi,Egypt,AFCON 2023,2,2,0.7961,1,0.398,0.5,0.5
Jefferson David Savarino Quintero,Venezuela,Copa America 2024,1,1,0.7835,0,0.7835,0.0,0.0
Mathieu Choiniere,Canada,Copa America 2024,1,1,0.7835,1,0.7835,1.0,1.0
Terem Igobor Moffi,Nigeria,AFCON 2023,1,1,0.7835,1,0.7835,1.0,1.0
Moussa Niakhate,Senegal,AFCON 2023,1,1,0.7835,0,0.7835,0.0,0.0
Kenneth Josiah Omeruo,Nigeria,AFCON 2023,1,1,0.7835,1,0.7835,1.0,1.0
Omenuke Mfulu,Congo DR,AFCON 2023,1,1,0.7835,1,0.7835,1.0,1.0
Nkosinathi Sibisi,South Africa,AFCON 2023,1,1,0.7835,1,0.7835,1.0,1.0
Thabang Amod Monare,South Africa,AFCON 2023,1,1,0.7835,1,0.7835,1.0,1.0
Joris Kayembe Ditu,Congo DR,AFCON 2023,1,1,0.7835,1,0.7835,1.0,1.0
Douglas Luiz Soares de Paulo,Brazil,Copa America 2024,1,1,0.7835,0,0.7835,0.0,0.0
Wilker José Ángel Romero,Venezuela,Copa America 2024,1,1,0.7835,0,0.7835,0.0,0.0
Mahmoud Hamada,Egypt,AFCON 2023,1,1,0.7835,1,0.7835,1.0,1.0
Omar Kamal Abdel Wahed,Egypt,AFCON 2023,1,1,0.7835,1,0.7835,1.0,1.0
Aaron Tshibola,Congo DR,AFCON 2023,1,1,0.7835,1,0.7835,1.0,1.0
Mohamed Abougabal,Egypt,AFCON 2023,1,1,0.7835,0,0.7835,0.0,0.0
Lionel Mpasi-Nzau,Congo DR,AFCON 2023,1,1,0.7835,1,0.7835,1.0,1.0
Paulo Bruno Exequiel Dybala,Argentina,FIFA World Cup 2022,1,1,0.7835,1,0.7835,1.0,1.0
Oswin Reagan Appollis,South Africa,AFCON 2023,1,1,0.7835,1,0.7835,1.0,1.0
Jure Balkovec,Slovenia,UEFA Euro 2024,1,1,0.7835,0,0.7835,0.0,0.0
Laros Duarte,Cape Verde Islands,AFCON 2023,1,1,0.7835,0,0.7835,0.0,0.0
Maya Yoshida,Japan,FIFA World Cup 2022,1,1,0.7835,0,0.7835,0.0,0.0
Badr Banoun,Morocco,FIFA World Cup 2022,1,1,0.7835,0,0.7835,0.0,0.0
Erickson Patrick Correia Andrade,Cape Verde Islands,AFCON 2023,1,1,0.7835,0,0.7835,0.0,0.0
Diogo José Teixeira da Silva,Portugal,UEFA Euro 2024,2,2,0.7784,0,0.3892,0.0,0.0
Ransford Königsdörffer,Ghana,AFCON 2023,1,3,0.7753,0,0.7753,0.0,0.0
Sávio Moreira de Oliveira,Brazil,Copa America 2024,2,4,0.7731,1,0.3866,0.5,0.25
Andrés Mateus Uribe Villa,Colombia,Copa America 2024,2,3,0.7587,0,0.3793,0.0,0.0
Remo Freuler,Switzerland,FIFA World Cup 2022; UEFA Euro 2024,3,6,0.7561,2,0.252,0.6667,0.333
Moisés Isaac Caicedo Corozo,Ecuador,FIFA World Cup 2022; Copa America 2024,4,6,0.7518,1,0.1879,0.25,0.167
Haji Wright,United States,FIFA World Cup 2022; Copa America 2024,5,8,0.75,1,0.15,0.2,0.125
Francisco Fernandes Conceição,Portugal,UEFA Euro 2024,3,5,0.7497,1,0.2499,0.3333,0.2
Azzedine Ounahi,Morocco,FIFA World Cup 2022; AFCON 2023,7,13,0.7414,1,0.1059,0.1429,0.077
Serge Gnabry,Germany,FIFA World Cup 2022,3,12,0.728,1,0.2427,0.3333,0.083
Tarik Tissoudali,Morocco,AFCON 2023,1,3,0.7243,0,0.7243,0.0,0.0
Jovane Eduardo Borges Cabral,Cape Verde Islands,AFCON 2023,4,9,0.7241,0,0.181,0.0,0.0
Frenkie de Jong,Netherlands,FIFA World Cup 2022,1,2,0.721,1,0.721,1.0,0.5
Merih Demiral,Türkiye,UEFA Euro 2024,1,3,0.7169,2,0.7169,2.0,0.667
Amine Adli,Morocco,AFCON 2023,3,5,0.7144,0,0.2381,0.0,0.0
Jonathan Osorio,Canada,FIFA World Cup 2022; Copa America 2024,2,3,0.7138,0,0.3569,0.0,0.0
Gue-Sung Cho,Korea Republic,FIFA World Cup 2022,3,8,0.7126,2,0.2375,0.6667,0.25
Fiston Kalala Mayele,Congo DR,AFCON 2023,3,5,0.7125,0,0.2375,0.0,0.0
Mohamed Konaté,Burkina Faso,AFCON 2023,3,8,0.7067,1,0.2356,0.3333,0.125
Ali Sowe,Gambia,AFCON 2023,2,4,0.6982,0,0.3491,0.0,0.0
Yordan Hernando Osorio Paredes,Venezuela,Copa America 2024,2,3,0.6982,0,0.3491,0.0,0.0
Vitor Machado Ferreira,Portugal,FIFA World Cup 2022; UEFA Euro 2024,4,10,0.6949,0,0.1737,0.0,0.0
Ernesto Alexis Vega Rojas,Mexico,FIFA World Cup 2022,3,9,0.692,0,0.2307,0.0,0.0
Young-Gwon Kim,Korea Republic,FIFA World Cup 2022,2,2,0.6892,1,0.3446,0.5,0.5
Alistair Johnston,Canada,FIFA World Cup 2022; Copa America 2024,3,3,0.6836,0,0.2279,0.0,0.0
Rodrigo Javier De Paul,Argentina,FIFA World Cup 2022; Copa America 2024,6,11,0.6742,0,0.1124,0.0,0.0
Mateo Kovačić,Croatia,FIFA World Cup 2022; UEFA Euro 2024,5,9,0.6702,0,0.134,0.0,0.0
Jean-Philippe Krasso,Côte d'Ivoire,AFCON 2023,3,7,0.6699,1,0.2233,0.3333,0.143
Henry Josué Martín Mex,Mexico,FIFA World Cup 2022,2,4,0.6687,1,0.3343,0.5,0.25
Amadou Haïdara,Mali,AFCON 2023,3,9,0.6687,0,0.2229,0.0,0.0
Marcel Sabitzer,Austria,UEFA Euro 2024,3,11,0.6661,1,0.222,0.3333,0.091
Boulaye Dia,Senegal,FIFA World Cup 2022,4,8,0.6622,1,0.1656,0.25,0.125
Nicolás Iván González,Argentina,Copa America 2024,2,5,0.662,0,0.331,0.0,0.0
Julio César Enciso Espínola,Paraguay,Copa America 2024,3,14,0.6619,1,0.2206,0.3333,0.071
Roman Yaremchuk,Ukraine,UEFA Euro 2024,3,6,0.6616,1,0.2205,0.3333,0.167
Deivi Miguel Vieira,Angola,AFCON 2023,3,6,0.6594,1,0.2198,0.3333,0.167
John Stones,England,FIFA World Cup 2022; UEFA Euro 2024,4,5,0.659,0,0.1647,0.0,0.0
Yannick Ferreira Carrasco,Belgium,FIFA World Cup 2022; UEFA Euro 2024,4,10,0.6582,0,0.1645,0.0,0.0
Timothy Weah,United States,FIFA World Cup 2022; Copa America 2024,4,8,0.6566,1,0.1641,0.25,0.125
Joshua Kimmich,Germany,FIFA World Cup 2022; UEFA Euro 2024,8,14,0.6443,0,0.0805,0.0,0.0
Alexis Alejandro Sánchez Sánchez,Chile,Copa America 2024,2,4,0.6422,0,0.3211,0.0,0.0
Kieffer Roberto Francisco Moore,Wales,FIFA World Cup 2022,3,6,0.6403,0,0.2134,0.0,0.0
Tijjani Reijnders,Netherlands,UEFA Euro 2024,4,10,0.6331,0,0.1583,0.0,0.0
Nahuel Molina Lucero,Argentina,FIFA World Cup 2022; Copa America 2024,3,3,0.6324,1,0.2108,0.3333,0.333
Haythem Jouini,Tunisia,AFCON 2023,2,3,0.6321,0,0.3161,0.0,0.0
David Strelec,Slovakia,UEFA Euro 2024,3,7,0.6292,0,0.2097,0.0,0.0
Ángel Rodrigo Romero Villamayor,Paraguay,Copa America 2024,1,3,0.629,0,0.629,0.0,0.0
Sofiane Boufal,Morocco,FIFA World Cup 2022; AFCON 2023,8,11,0.6287,0,0.0786,0.0,0.0
Kristjan Asllani,Albania,UEFA Euro 2024,3,8,0.6286,0,0.2095,0.0,0.0
Jack Grealish,England,FIFA World Cup 2022,1,1,0.6263,1,0.6263,1.0,1.0
Giovani Lo Celso,Argentina,Copa America 2024,3,3,0.6252,0,0.2084,0.0,0.0
Michy Batshuayi Tunga,Belgium,FIFA World Cup 2022,2,6,0.6207,1,0.3103,0.5,0.167
Seko Fofana,Côte d'Ivoire,AFCON 2023,6,17,0.6193,1,0.1032,0.1667,0.059
Ante Budimir,Croatia,FIFA World Cup 2022; UEFA Euro 2024,4,5,0.6188,0,0.1547,0.0,0.0
Felix Eduardo Torres Caicedo,Ecuador,FIFA World Cup 2022; Copa America 2024,4,6,0.6164,0,0.1541,0.0,0.0
Weston McKennie,United States,FIFA World Cup 2022; Copa America 2024,4,7,0.6131,0,0.1533,0.0,0.0
Calvin Bassey Ughelumba,Nigeria,AFCON 2023,2,2,0.6112,0,0.3056,0.0,0.0
Marco Asensio Willemsen,Spain,FIFA World Cup 2022,4,10,0.6082,1,0.152,0.25,0.1
Daniel Muñoz Mejía,Colombia,Copa America 2024,3,4,0.6057,2,0.2019,0.6667,0.5
Mikel Oyarzabal Ugarte,Spain,UEFA Euro 2024,3,6,0.5994,1,0.1998,0.3333,0.167
Zakaria Aboukhlal,Morocco,FIFA World Cup 2022,3,3,0.5971,1,0.199,0.3333,0.333
