player,team,competitions,matches,shots,xg,goals,xg_per_match,goals_per_match,shot_accuracy
Antoine Semenyo,Ghana,FIFA World Cup 2022; AFCON 2023,3,3,0.1993,0,0.0664,0.0,0.0
Abdou Diallo,Senegal,FIFA World Cup 2022; AFCON 2023,3,3,0.199,0,0.0663,0.0,0.0
Idrissa Thiam,Mauritania,AFCON 2023,2,4,0.1989,0,0.0995,0.0,0.0
Grant Campbell Hanley,Scotland,UEFA Euro 2024,1,1,0.1987,0,0.1987,0.0,0.0
Richie Laryea,Canada,FIFA World Cup 2022; Copa America 2024,4,6,0.1985,0,0.0496,0.0,0.0
In-Beom Hwang,Korea Republic,FIFA World Cup 2022,4,6,0.1977,0,0.0494,0.0,0.0
Yunus Dimoara Musah,United States,FIFA World Cup 2022,3,4,0.1975,0,0.0658,0.0,0.0
José Antonio Miranda Boacho,Equatorial Guinea,AFCON 2023,1,3,0.1974,1,0.1974,1.0,0.333
Ladislav Krejčí,Czechia,UEFA Euro 2024,2,5,0.1974,0,0.0987,0.0,0.0
Rodrigo Hernández Cascante,Spain,FIFA World Cup 2022; UEFA Euro 2024,3,6,0.1967,1,0.0656,0.3333,0.167
Florian Grillitsch,Austria,UEFA Euro 2024,2,5,0.1964,0,0.0982,0.0,0.0
Nedim Bajrami,Albania,UEFA Euro 2024,2,3,0.1963,1,0.0982,0.5,0.333
Kenny Rocha Santos,Cape Verde Islands,AFCON 2023,2,4,0.1952,0,0.0976,0.0,0.0
José Andrés Martínez Torres,Venezuela,Copa America 2024,3,4,0.195,0,0.065,0.0,0.0
Yeferson Julio Soteldo Martínez,Venezuela,Copa America 2024,2,4,0.195,0,0.0975,0.0,0.0
Oluwasemilogo Adesewo Ibidapo Ajayi,Nigeria,AFCON 2023,1,1,0.1936,0,0.1936,0.0,0.0
Carlos Alberto Rodríguez Gómez,Mexico,Copa America 2024,1,2,0.1935,0,0.1935,0.0,0.0
Giovanni Di Lorenzo,Italy,UEFA Euro 2024,2,2,0.1911,0,0.0956,0.0,0.0
Hidemasa Morita,Japan,FIFA World Cup 2022,2,3,0.1906,0,0.0953,0.0,0.0
Nico Elvedi,Switzerland,FIFA World Cup 2022,1,1,0.19,0,0.19,0.0,0.0
Nampalys Mendy,Senegal,FIFA World Cup 2022; AFCON 2023,3,5,0.1893,0,0.0631,0.0,0.0
Raheem Sterling,England,FIFA World Cup 2022,1,1,0.1885,1,0.1885,1.0,1.0
Thapelo Maseko,South Africa,AFCON 2023,2,2,0.1878,1,0.0939,0.5,0.5
António João Pereira Albuquerque Tavares Silva,Portugal,UEFA Euro 2024,1,1,0.1873,0,0.1873,0.0,0.0
Selim Amallah,Morocco,FIFA World Cup 2022; AFCON 2023,3,3,0.1871,0,0.0624,0.0,0.0
Pierre Kunde Malong,Cameroon,FIFA World Cup 2022,2,5,0.1871,0,0.0936,0.0,0.0
Igor Lichnovsky Osorio,Chile,Copa America 2024,2,2,0.1869,0,0.0934,0.0,0.0
Yusuf Yazıcı,Türkiye,UEFA Euro 2024,2,3,0.1853,0,0.0927,0.0,0.0
Tomáš Souček,Czechia,UEFA Euro 2024,2,2,0.1853,1,0.0927,0.5,0.5
Mohammed Muntari,Qatar,FIFA World Cup 2022,2,3,0.185,1,0.0925,0.5,0.333
Simon Happygod Msuva,Tanzania,AFCON 2023,2,4,0.1844,1,0.0922,0.5,0.25
Juan Pablo Vargas Campos,Costa Rica,FIFA World Cup 2022,1,1,0.1843,0,0.1843,0.0,0.0
Willy Boly,Côte d'Ivoire,AFCON 2023,1,1,0.1838,0,0.1838,0.0,0.0
Mason Mount,England,FIFA World Cup 2022,3,4,0.1818,0,0.0606,0.0,0.0
Wataru Endo,Japan,FIFA World Cup 2022,2,6,0.1814,0,0.0907,0.0,0.0
Philipp Lienhart,Austria,UEFA Euro 2024,1,2,0.1812,0,0.1812,0.0,0.0
Kings Kangwa,Zambia,AFCON 2023,2,3,0.1808,1,0.0904,0.5,0.333
César Rodolfo Blackman Camarena,Panama,Copa America 2024,2,4,0.1805,1,0.0902,0.5,0.25
Romano Schmid,Austria,UEFA Euro 2024,1,1,0.1798,1,0.1798,1.0,1.0
Chris Richards,United States,Copa America 2024,1,2,0.1794,0,0.1794,0.0,0.0
Edinson Roberto Cavani Gómez,Uruguay,FIFA World Cup 2022,2,3,0.179,0,0.0895,0.0,0.0
Strahinja Pavlović,Serbia,FIFA World Cup 2022,2,2,0.1779,1,0.0889,0.5,0.5
Kevin Duvan Castaño Gil,Colombia,Copa America 2024,2,2,0.1773,0,0.0886,0.0,0.0
Ellyes Joris Skhiri,Tunisia,FIFA World Cup 2022; AFCON 2023,2,4,0.1772,0,0.0886,0.0,0.0
Klaus Gjasula,Albania,UEFA Euro 2024,1,2,0.177,1,0.177,1.0,0.5
Héctor Alfredo Moreno Herrera,Mexico,FIFA World Cup 2022,1,1,0.1767,0,0.1767,0.0,0.0
João Paulo Moreira Fernandes,Cape Verde Islands,AFCON 2023,2,4,0.1767,0,0.0884,0.0,0.0
Omar Colley,Gambia,AFCON 2023,1,2,0.1765,0,0.1765,0.0,0.0
Ibrahima Konaté,France,FIFA World Cup 2022,1,2,0.176,0,0.176,0.0,0.0
Damián Josué Bobadilla Benítez,Paraguay,Copa America 2024,2,4,0.1746,0,0.0873,0.0,0.0
Shogo Taniguchi,Japan,FIFA World Cup 2022,1,2,0.1745,0,0.1745,0.0,0.0
Alfons Amade,Mozambique,AFCON 2023,1,2,0.1717,0,0.1717,0.0,0.0
Nahitan Michel Nández Acosta,Uruguay,Copa America 2024,1,1,0.1699,0,0.1699,0.0,0.0
Jeremie Frimpong,Netherlands,UEFA Euro 2024,1,2,0.1698,0,0.1698,0.0,0.0
Lamine Camara,Senegal,AFCON 2023,2,3,0.1679,2,0.0839,1.0,0.667
Zuriko Davitashvili,Georgia,UEFA Euro 2024,2,2,0.1655,0,0.0827,0.0,0.0
Jan Mlakar,Slovenia,UEFA Euro 2024,1,2,0.1648,0,0.1648,0.0,0.0
Ko Itakura,Japan,FIFA World Cup 2022,3,3,0.1622,0,0.0541,0.0,0.0
Gerardo Daniel Arteaga Zamora,Mexico,Copa America 2024,2,3,0.1616,1,0.0808,0.5,0.333
Nouh Mohamed El Abd,Mauritania,AFCON 2023,2,2,0.161,0,0.0805,0.0,0.0
Giovanni Reyna,United States,FIFA World Cup 2022; Copa America 2024,2,3,0.1593,0,0.0796,0.0,0.0
Muhammed Badamosi,Gambia,AFCON 2023,1,3,0.1586,0,0.1586,0.0,0.0
Sebastián Enzo Cáceres Ramos,Uruguay,Copa America 2024,2,2,0.1559,0,0.0779,0.0,0.0
Vincent Janssen,Netherlands,FIFA World Cup 2022,1,2,0.1555,0,0.1555,0.0,0.0
Toni Kroos,Germany,UEFA Euro 2024,3,3,0.1549,0,0.0516,0.0,0.0
Alireza Jahanbakhsh,IR Iran,FIFA World Cup 2022,2,3,0.1549,0,0.0775,0.0,0.0
Jules Olivier Ntcham,Cameroon,FIFA World Cup 2022; AFCON 2023,4,6,0.1547,0,0.0387,0.0,0.0
Antony Matheus dos Santos,Brazil,FIFA World Cup 2022,4,6,0.1545,0,0.0386,0.0,0.0
Youri Tielemans,Belgium,UEFA Euro 2024,2,4,0.1533,1,0.0767,0.5,0.25
Qazim Laçi,Albania,UEFA Euro 2024,1,1,0.1527,1,0.1527,1.0,1.0
Gabriel Alejandro Villamíl Cortéz,Bolivia,Copa America 2024,2,3,0.1526,0,0.0763,0.0,0.0
Naïm Sliti,Tunisia,FIFA World Cup 2022; AFCON 2023,2,2,0.1514,0,0.0757,0.0,0.0
Noussair Mazraoui,Morocco,FIFA World Cup 2022,3,4,0.1513,0,0.0504,0.0,0.0
Kamil Glik,Poland,FIFA World Cup 2022,2,3,0.1506,0,0.0753,0.0,0.0
Djibril Sow,Switzerland,FIFA World Cup 2022,1,2,0.1504,0,0.1504,0.0,0.0
Jorge Eduardo Sánchez Ramos,Mexico,FIFA World Cup 2022; Copa America 2024,4,4,0.1501,0,0.0375,0.0,0.0
Jordan Brian Henderson,England,FIFA World Cup 2022,2,2,0.149,1,0.0745,0.5,0.5
Gildo Lourenço Vilanculos,Mozambique,AFCON 2023,2,3,0.1488,0,0.0744,0.0,0.0
Kevin Lenini Gonçalves Pereira de Pina,Cape Verde Islands,AFCON 2023,3,5,0.1486,1,0.0495,0.3333,0.2
Adam Buksa,Poland,UEFA Euro 2024,2,3,0.1483,1,0.0742,0.5,0.333
Saleh Khalid Al Shehri,Saudi Arabia,FIFA World Cup 2022,3,3,0.147,1,0.049,0.3333,0.333
Maximilian Mittelstädt,Germany,UEFA Euro 2024,3,5,0.1454,0,0.0485,0.0,0.0
Darwin Daniel Machís Marcano,Venezuela,Copa America 2024,2,4,0.1453,0,0.0726,0.0,0.0
Paul Onuachu,Nigeria,AFCON 2023,1,1,0.1446,0,0.1446,0.0,0.0
Radu Drăgușin,Romania,UEFA Euro 2024,1,3,0.1441,0,0.1441,0.0,0.0
Morten Hjulmand,Denmark,UEFA Euro 2024,3,5,0.1438,1,0.0479,0.3333,0.2
Zito André Sebastião Luvumbo,Angola,AFCON 2023,2,3,0.143,0,0.0715,0.0,0.0
José Luis Sanmartín Mato,Spain,UEFA Euro 2024,1,3,0.1427,0,0.1427,0.0,0.0
David Jurásek,Czechia,UEFA Euro 2024,2,4,0.1421,0,0.0711,0.0,0.0
Joey Veerman,Netherlands,UEFA Euro 2024,2,2,0.1413,0,0.0707,0.0,0.0
Patrick Wimmer,Austria,UEFA Euro 2024,3,3,0.1408,0,0.0469,0.0,0.0
Ismail Jakobs,Senegal,FIFA World Cup 2022; AFCON 2023,3,3,0.1408,0,0.0469,0.0,0.0
Callum McGregor,Scotland,UEFA Euro 2024,2,3,0.1399,0,0.0699,0.0,0.0
Abdulelah Saad Hameed Al-Malki,Saudi Arabia,FIFA World Cup 2022,1,2,0.1394,0,0.1394,0.0,0.0
Bright Osayi-Samuel,Nigeria,AFCON 2023,2,2,0.1391,0,0.0696,0.0,0.0
Marc Guehi,England,UEFA Euro 2024,2,2,0.1389,0,0.0694,0.0,0.0
Nouhou Tolo,Cameroon,AFCON 2023,3,3,0.1372,0,0.0457,0.0,0.0
Domingos João Macandza,Mozambique,AFCON 2023,2,2,0.137,0,0.0685,0.0,0.0
Krystian Bielik,Poland,FIFA World Cup 2022,2,2,0.1368,0,0.0684,0.0,0.0
Romario Andrés Ibarra Mina,Ecuador,FIFA World Cup 2022,1,2,0.1366,0,0.1366,0.0,0.0
João Pedro Cavaco Cancelo,Portugal,FIFA World Cup 2022; UEFA Euro 2024,3,4,0.1358,0,0.0453,0.0,0.0
Ramón Sosa Acosta,Paraguay,Copa America 2024,1,3,0.1352,1,0.1352,1.0,0.333
Arkadiusz Milik,Poland,FIFA World Cup 2022,1,1,0.1352,0,0.1352,0.0,0.0
Yuki Soma,Japan,FIFA World Cup 2022,1,3,0.1349,0,0.1349,0.0,0.0
Ondrej Duda,Slovakia,UEFA Euro 2024,2,2,0.1348,1,0.0674,0.5,0.5
Joakim Mæhle,Denmark,FIFA World Cup 2022; UEFA Euro 2024,3,3,0.1348,0,0.0449,0.0,0.0
Nicolae Claudiu Stanciu,Romania,UEFA Euro 2024,2,5,0.1348,1,0.0674,0.5,0.2
Andrei Florin Ratiu,Romania,UEFA Euro 2024,2,3,0.1346,0,0.0673,0.0,0.0
Paul Brian Rodríguez Bravo,Uruguay,Copa America 2024,1,1,0.1344,0,0.1344,0.0,0.0
Bryan Mbeumo,Cameroon,FIFA World Cup 2022,2,2,0.1343,0,0.0672,0.0,0.0
Atiba Hutchinson,Canada,FIFA World Cup 2022,2,2,0.1332,0,0.0666,0.0,0.0
Mirlind Daku,Albania,UEFA Euro 2024,1,1,0.1327,0,0.1327,0.0,0.0
Kieran Trippier,England,FIFA World Cup 2022; UEFA Euro 2024,2,2,0.1319,0,0.0659,0.0,0.0
Théo Bongonda Mbul''Ofeko Batombo,Congo DR,AFCON 2023,1,1,0.1311,0,0.1311,0.0,0.0
Hichem Boudaoui,Algeria,AFCON 2023,1,3,0.1297,0,0.1297,0.0,0.0
Saša Lukić,Serbia,FIFA World Cup 2022; UEFA Euro 2024,2,2,0.1277,0,0.0639,0.0,0.0
Bodda Mouhsine,Mauritania,AFCON 2023,3,4,0.1276,0,0.0425,0.0,0.0
Assan Ceesay,Gambia,AFCON 2023,1,1,0.1269,0,0.1269,0.0,0.0
Aziz Eraltay Behich,Australia,FIFA World Cup 2022,2,2,0.1269,0,0.0634,0.0,0.0
Gernot Trauner,Austria,UEFA Euro 2024,1,1,0.1261,1,0.1261,1.0,1.0
Ethan Pinnock,Jamaica,Copa America 2024,1,1,0.1257,0,0.1257,0.0,0.0
Che Adams,Scotland,UEFA Euro 2024,2,2,0.1243,0,0.0622,0.0,0.0
Brennan Johnson,Wales,FIFA World Cup 2022,3,3,0.1243,0,0.0414,0.0,0.0
Anis Ben Slimane,Tunisia,FIFA World Cup 2022; AFCON 2023,4,4,0.1242,0,0.0311,0.0,0.0
Firas Tariq Nasser Al Albirakan,Saudi Arabia,FIFA World Cup 2022,2,2,0.124,0,0.062,0.0,0.0
Rúben Diogo Da Silva Neves,Portugal,FIFA World Cup 2022; UEFA Euro 2024,4,4,0.1233,0,0.0308,0.0,0.0
Nikola Milenković,Serbia,FIFA World Cup 2022,3,3,0.1232,0,0.0411,0.0,0.0
Ibrahim Sissoko,Mali,AFCON 2023,1,1,0.123,0,0.123,0.0,0.0
Dodi Lukebakio,Belgium,UEFA Euro 2024,1,3,0.1229,0,0.1229,0.0,0.0
Alejandro Garnacho Ferreyra,Argentina,Copa America 2024,1,2,0.1227,0,0.1227,0.0,0.0
Alan Steven Franco Palma,Ecuador,Copa America 2024,3,3,0.1223,0,0.0408,0.0,0.0
Endrick Felipe Moreira de Sousa,Brazil,Copa America 2024,2,2,0.1217,0,0.0609,0.0,0.0
Kamil Grosicki,Poland,UEFA Euro 2024,1,1,0.1203,0,0.1203,0.0,0.0
Róbert Boženík,Slovakia,UEFA Euro 2024,2,3,0.12,0,0.06,0.0,0.0
Daniel Alves da Silva,Brazil,FIFA World Cup 2022,2,3,0.12,0,0.06,0.0,0.0
Thomas Meunier,Belgium,FIFA World Cup 2022,3,3,0.1192,0,0.0397,0.0,0.0
David Junior Hoilett,Canada,FIFA World Cup 2022,2,4,0.1191,0,0.0596,0.0,0.0
Kang-In Lee,Korea Republic,FIFA World Cup 2022,3,5,0.118,0,0.0393,0.0,0.0
Rúben Santos Gato Alves Dias,Portugal,FIFA World Cup 2022; UEFA Euro 2024,3,3,0.118,0,0.0393,0.0,0.0
Nicola Zalewski,Poland,UEFA Euro 2024,2,2,0.1178,0,0.0589,0.0,0.0
Samuel Chimerenka Chukwueze,Nigeria,AFCON 2023,4,4,0.1173,0,0.0293,0.0,0.0
Pablo Ganet Cómitre,Equatorial Guinea,AFCON 2023,3,4,0.1172,1,0.0391,0.3333,0.25
Mouctar Diakhaby,Guinea,AFCON 2023,2,2,0.1171,0,0.0585,0.0,0.0
Cristian Jesús Martínez,Panama,Copa America 2024,3,3,0.1154,0,0.0385,0.0,0.0
William Saliba,France,UEFA Euro 2024,2,2,0.1141,0,0.0571,0.0,0.0
Semih Kılıçsoy,Türkiye,UEFA Euro 2024,1,1,0.114,0,0.114,0.0,0.0
Aprocious Petrus,Namibia,AFCON 2023,2,2,0.1136,0,0.0568,0.0,0.0
Mathew Leckie,Australia,FIFA World Cup 2022,1,1,0.1135,1,0.1135,1.0,1.0
Taha Yassine Khenissi,Tunisia,FIFA World Cup 2022; AFCON 2023,2,2,0.1128,0,0.0564,0.0,0.0
Petr Ševčík,Czechia,UEFA Euro 2024,1,1,0.1126,0,0.1126,0.0,0.0
Andrei Burcă Andonie,Romania,UEFA Euro 2024,1,1,0.1115,0,0.1115,0.0,0.0
César Augusto Yanis Velasco,Panama,Copa America 2024,1,1,0.1109,1,0.1109,1.0,1.0
Junya Ito,Japan,FIFA World Cup 2022,2,2,0.1106,0,0.0553,0.0,0.0
Viktor Tsygankov,Ukraine,UEFA Euro 2024,1,2,0.1102,0,0.1102,0.0,0.0
Fares Chaïbi,Algeria,AFCON 2023,2,3,0.1092,0,0.0546,0.0,0.0
Danilo Luiz da Silva,Brazil,FIFA World Cup 2022; Copa America 2024,3,3,0.109,0,0.0363,0.0,0.0
José Diogo Dalot Teixeira,Portugal,FIFA World Cup 2022; UEFA Euro 2024,3,4,0.1085,0,0.0362,0.0,0.0
Naby Deco Keïta,Guinea,AFCON 2023,1,1,0.1078,0,0.1078,0.0,0.0
Nabil Bentaleb,Algeria,AFCON 2023,1,1,0.1077,0,0.1077,0.0,0.0
Abdiel Armando Ayarza Cocanegra,Panama,Copa America 2024,2,3,0.1071,0,0.0535,0.0,0.0
Nathan Aké,Netherlands,UEFA Euro 2024,1,2,0.1069,0,0.1069,0.0,0.0
Aïssa Bilal Laïdouni,Tunisia,FIFA World Cup 2022; AFCON 2023,3,3,0.1067,0,0.0356,0.0,0.0
Mojmír Chytil,Czechia,UEFA Euro 2024,2,2,0.1066,0,0.0533,0.0,0.0
Islam Slimani,Algeria,AFCON 2023,2,2,0.1062,0,0.0531,0.0,0.0
Nawaf Shaker Al Abid,Saudi Arabia,FIFA World Cup 2022,2,2,0.1061,0,0.0531,0.0,0.0
Min Jae Kim,Korea Republic,FIFA World Cup 2022,2,2,0.1059,0,0.053,0.0,0.0
Gonzalo Jordy Plata Jiménez,Ecuador,FIFA World Cup 2022,2,2,0.1053,0,0.0527,0.0,0.0
Mohamed Dellahi Yali,Mauritania,AFCON 2023,1,2,0.1043,1,0.1043,1.0,0.5
Berat Djimsiti,Albania,UEFA Euro 2024,2,2,0.1043,0,0.0522,0.0,0.0
Ismael Saibari,Morocco,AFCON 2023,1,1,0.1041,0,0.1041,0.0,0.0
Christian Alberto Cueva Bravo,Peru,Copa America 2024,1,1,0.1036,0,0.1036,0.0,0.0
Otávio Edmilson da Silva Monteiro,Portugal,FIFA World Cup 2022,2,3,0.1035,0,0.0518,0.0,0.0
Sebastián Coates Nión,Uruguay,FIFA World Cup 2022,1,1,0.1033,0,0.1033,0.0,0.0
Pachoio Lau Há King,Mozambique,AFCON 2023,2,2,0.1028,0,0.0514,0.0,0.0
Euciodálcio Gomes,Guinea-Bissau,AFCON 2023,2,3,0.1026,0,0.0513,0.0,0.0
Charles Pickel,Congo DR,AFCON 2023,2,3,0.1018,0,0.0509,0.0,0.0
Ali Al Hassan,Saudi Arabia,FIFA World Cup 2022,1,1,0.1015,0,0.1015,0.0,0.0
Marcos Javier Acuña,Argentina,FIFA World Cup 2022; Copa America 2024,2,3,0.1001,0,0.0501,0.0,0.0
Kendall Jamaal Waston Manley,Costa Rica,FIFA World Cup 2022,1,1,0.0993,0,0.0993,0.0,0.0
Matías Nicolás Viña Susperreguy,Uruguay,Copa America 2024,2,2,0.0992,1,0.0496,0.5,0.5
Roberto Lopes,Cape Verde Islands,AFCON 2023,1,1,0.099,0,0.099,0.0,0.0
Demarai Gray,Jamaica,Copa America 2024,2,2,0.0988,0,0.0494,0.0,0.0
Matěj Jurásek,Czechia,UEFA Euro 2024,2,4,0.0988,0,0.0494,0.0,0.0
Elseid Hysaj,Albania,UEFA Euro 2024,1,2,0.0978,0,0.0978,0.0,0.0
Alexander Djiku,Ghana,AFCON 2023,1,1,0.0974,1,0.0974,1.0,1.0
Kacper Urbanski,Poland,UEFA Euro 2024,1,2,0.0973,0,0.0973,0.0,0.0
Antonee Robinson,United States,Copa America 2024,2,3,0.0972,0,0.0486,0.0,0.0
Lukáš Provod,Czechia,UEFA Euro 2024,3,3,0.097,1,0.0323,0.3333,0.333
Edgardo Isaac Fariña Wynter,Panama,Copa America 2024,2,3,0.0969,0,0.0485,0.0,0.0
Mehdi Torabi,IR Iran,FIFA World Cup 2022,2,2,0.0968,0,0.0484,0.0,0.0
Ibán Salvador Edu,Equatorial Guinea,AFCON 2023,1,2,0.0962,1,0.0962,1.0,0.5
Attila Szalai,Hungary,UEFA Euro 2024,1,1,0.096,0,0.096,0.0,0.0
Kennedy Musonda,Zambia,AFCON 2023,2,2,0.0953,0,0.0477,0.0,0.0
Brenden Aaronson,United States,FIFA World Cup 2022,1,1,0.0943,0,0.0943,0.0,0.0
Steven Zuber,Switzerland,UEFA Euro 2024,2,2,0.0938,0,0.0469,0.0,0.0
Arbër Hoxha,Albania,UEFA Euro 2024,2,2,0.0927,0,0.0463,0.0,0.0
Ahmed Mohamed Abo El Fotouh Mohamed,Egypt,AFCON 2023,1,3,0.0923,0,0.0923,0.0,0.0
El-Hadji Ba,Mauritania,AFCON 2023,1,1,0.0909,0,0.0909,0.0,0.0
Kialonda Gaspar,Angola,AFCON 2023,2,2,0.0905,0,0.0453,0.0,0.0
Michel Aebischer,Switzerland,UEFA Euro 2024,2,2,0.0904,1,0.0452,0.5,0.5
Miguel Gianpierre Araujo Blanco,Peru,Copa America 2024,1,1,0.0902,0,0.0902,0.0,0.0
Ngero Kaanjuka Katua,Namibia,AFCON 2023,2,3,0.0894,0,0.0447,0.0,0.0
Leander Dendoncker,Belgium,FIFA World Cup 2022,1,1,0.0889,0,0.0889,0.0,0.0
Emmanuel Justine Rabby Banda,Zambia,AFCON 2023,2,4,0.0883,0,0.0442,0.0,0.0
Aboubakar Kamara,Mauritania,AFCON 2023,2,2,0.0882,0,0.0441,0.0,0.0
Billy Gilmour,Scotland,UEFA Euro 2024,1,2,0.0878,0,0.0878,0.0,0.0
Ronald Federico Araújo da Silva,Uruguay,Copa America 2024,3,3,0.0871,0,0.029,0.0,0.0
Reinildo Isnard Mandava,Mozambique,AFCON 2023,1,2,0.0865,1,0.0865,1.0,0.5
Scott McKenna,Scotland,UEFA Euro 2024,2,2,0.0864,0,0.0432,0.0,0.0
Feliciano João Jone,Mozambique,AFCON 2023,1,1,0.086,0,0.086,0.0,0.0
Cristian Gabriel Romero,Argentina,Copa America 2024,1,1,0.0848,0,0.0848,0.0,0.0
Bendegúz Bolla,Hungary,UEFA Euro 2024,2,3,0.0847,0,0.0423,0.0,0.0
Nicolò Barella,Italy,UEFA Euro 2024,1,1,0.0846,1,0.0846,1.0,1.0
Luke Shaw,England,FIFA World Cup 2022,2,3,0.0844,0,0.0422,0.0,0.0
Petrus Shitembi,Namibia,AFCON 2023,1,1,0.0843,0,0.0843,0.0,0.0
Amir Richardson,Morocco,AFCON 2023,1,1,0.0826,0,0.0826,0.0,0.0
Martin Hongla Yma II,Cameroon,FIFA World Cup 2022,1,1,0.0824,0,0.0824,0.0,0.0
Houssem Aouar,Algeria,AFCON 2023,1,1,0.0822,0,0.0822,0.0,0.0
Kamaldeen Sulemana,Ghana,FIFA World Cup 2022,1,1,0.0812,0,0.0812,0.0,0.0
Anzor Mekvabishvili,Georgia,UEFA Euro 2024,2,2,0.081,0,0.0405,0.0,0.0
László Bénes,Slovakia,UEFA Euro 2024,1,1,0.0805,0,0.0805,0.0,0.0
Ahmad Nourollahi,IR Iran,FIFA World Cup 2022,2,5,0.0804,0,0.0402,0.0,0.0
Riley McGree,Australia,FIFA World Cup 2022,2,3,0.0801,0,0.0401,0.0,0.0
Kasey Palmer,Jamaica,Copa America 2024,1,2,0.0801,0,0.0801,0.0,0.0
Fali Candé,Guinea-Bissau,AFCON 2023,3,4,0.0798,0,0.0266,0.0,0.0
Miguel Ángel Navarro Zárate,Venezuela,Copa America 2024,1,1,0.0798,0,0.0798,0.0,0.0
Ibrahim Diakité,Guinea,AFCON 2023,1,1,0.0795,0,0.0795,0.0,0.0
Ben Brereton Díaz,Chile,Copa America 2024,1,2,0.079,0,0.079,0.0,0.0
Jeremie Boga,Côte d'Ivoire,AFCON 2023,1,1,0.0788,0,0.0788,0.0,0.0
Marcelino Ignacio Nuñez Espinoza,Chile,Copa America 2024,3,3,0.0785,0,0.0262,0.0,0.0
Giorgi Chakvetadze,Georgia,UEFA Euro 2024,1,2,0.078,0,0.078,0.0,0.0
Maximiliano Gómez González,Uruguay,FIFA World Cup 2022,2,2,0.0778,0,0.0389,0.0,0.0
Alejandro Balde Martínez,Spain,FIFA World Cup 2022,1,1,0.0777,0,0.0777,0.0,0.0
Alasana Manneh,Gambia,AFCON 2023,2,2,0.0776,0,0.0388,0.0,0.0
Bobby Armani De Cordova-Reid,Jamaica,Copa America 2024,2,2,0.0773,0,0.0387,0.0,0.0
Ernest Appiah Nuamah,Ghana,AFCON 2023,1,2,0.0772,0,0.0772,0.0,0.0
Mohamed Elias Achouri,Tunisia,AFCON 2023,1,1,0.0769,0,0.0769,0.0,0.0
Niklas Süle,Germany,FIFA World Cup 2022,1,1,0.0761,0,0.0761,0.0,0.0
Neco Williams,Wales,FIFA World Cup 2022,1,3,0.0756,0,0.0756,0.0,0.0
Cristian Sleiker Cásseres Yepes,Venezuela,Copa America 2024,1,2,0.0752,0,0.0752,0.0,0.0
Fernando de Lacerda Gomes,Guinea-Bissau,AFCON 2023,1,2,0.075,0,0.075,0.0,0.0
Alhassan Yusuf,Nigeria,AFCON 2023,2,3,0.0747,0,0.0373,0.0,0.0
Tariq Lamptey,Ghana,FIFA World Cup 2022,1,1,0.0745,0,0.0745,0.0,0.0
Nicolas Jackson,Senegal,AFCON 2023,1,1,0.0744,0,0.0744,0.0,0.0
Sayfallah Ltaief,Tunisia,AFCON 2023,1,1,0.0737,0,0.0737,0.0,0.0
Ricardo Iván Rodríguez Araya,Switzerland,UEFA Euro 2024,2,3,0.0735,0,0.0368,0.0,0.0
Ibrahim Abdallah Hamad,Tanzania,AFCON 2023,1,1,0.0732,0,0.0732,0.0,0.0
Omar Federico Alderete Fernández,Paraguay,Copa America 2024,2,3,0.0729,1,0.0364,0.5,0.333
Jayden Adams,South Africa,AFCON 2023,1,1,0.0728,0,0.0728,0.0,0.0
Heorhii Tsitaishvili,Georgia,UEFA Euro 2024,2,3,0.0721,0,0.0361,0.0,0.0
Jerdy Schouten,Netherlands,UEFA Euro 2024,1,1,0.072,0,0.072,0.0,0.0
Mohamed Camara,Mali,AFCON 2023,2,2,0.071,0,0.0355,0.0,0.0
Olivier Michel Kemen,Cameroon,AFCON 2023,2,3,0.0707,0,0.0354,0.0,0.0
Youcef Atal,Algeria,AFCON 2023,2,3,0.0705,0,0.0353,0.0,0.0
Rayan Aït Nouri,Algeria,AFCON 2023,2,3,0.0697,0,0.0349,0.0,0.0
Nico Schlotterbeck,Germany,UEFA Euro 2024,1,2,0.0696,0,0.0696,0.0,0.0
Yankuba Minteh,Gambia,AFCON 2023,2,2,0.0695,0,0.0347,0.0,0.0
Jakub Piotrowski,Poland,UEFA Euro 2024,2,2,0.0691,0,0.0345,0.0,0.0
Kévin Daniel Van Den Kerkhof,Algeria,AFCON 2023,1,2,0.0686,0,0.0686,0.0,0.0
Paweł Dawidowicz,Poland,UEFA Euro 2024,1,1,0.0684,0,0.0684,0.0,0.0
Ehsan Hajsafi,IR Iran,FIFA World Cup 2022,1,1,0.0682,0,0.0682,0.0,0.0
Harry Souttar,Australia,FIFA World Cup 2022,1,1,0.0681,0,0.0681,0.0,0.0
Bryan Cristante,Italy,UEFA Euro 2024,2,2,0.0671,0,0.0336,0.0,0.0
Taras Stepanenko,Ukraine,UEFA Euro 2024,1,1,0.067,0,0.067,0.0,0.0
Germán Alejandro Pezzella,Argentina,FIFA World Cup 2022; Copa America 2024,2,2,0.0668,0,0.0334,0.0,0.0
Nene Dorgeles,Mali,AFCON 2023,2,3,0.0667,1,0.0333,0.5,0.333
Rogelio Gabriel Funes Mori,Mexico,FIFA World Cup 2022,1,1,0.0666,0,0.0666,0.0,0.0
Mario Götze,Germany,FIFA World Cup 2022,1,1,0.0665,0,0.0665,0.0,0.0
